closest_mrt_dist,cbd_dist,town,storey_range,floor_area_sqm,flat_model,resale_price,years_remaining
1139.237829,9333.847525,ANG MO KIO,16 TO 18,120,Improved,593000,61
313.9132074,9300.675712,ANG MO KIO,10 TO 12,73,New Generation,340000,59
642.181768,9714.8707,ANG MO KIO,10 TO 12,135,Model A,850000,58
758.9296011,10652.26023,ANG MO KIO,01 TO 03,67,New Generation,266000,62
743.4350347,8911.817049,ANG MO KIO,01 TO 03,91,New Generation,395000,63
428.0856123,9306.516015,ANG MO KIO,04 TO 06,98,New Generation,488000,59
497.327924,9138.402062,ANG MO KIO,07 TO 09,73,New Generation,380000,54
573.8199518,9371.712129,ANG MO KIO,04 TO 06,82,New Generation,358000,61
653.7615214,10866.63797,ANG MO KIO,07 TO 09,68,New Generation,275000,61
580.4566026,9837.24085,ANG MO KIO,07 TO 09,123,Standard,630000,56
636.9849102,10423.98357,ANG MO KIO,04 TO 06,68,New Generation,340000,58
352.6080285,9830.868659,ANG MO KIO,01 TO 03,82,New Generation,326888,61
459.2322764,9840.63413,ANG MO KIO,10 TO 12,112,DBSS,755000,93
430.4190872,9851.054067,ANG MO KIO,04 TO 06,120,DBSS,788000,93
929.1641593,9825.917255,ANG MO KIO,01 TO 03,68,New Generation,265000,62
635.2384969,9663.283533,ANG MO KIO,04 TO 06,73,New Generation,360000,56
316.5823672,9888.814405,ANG MO KIO,28 TO 30,110,Improved,789000,81
584.672197,9478.343681,ANG MO KIO,07 TO 09,67,New Generation,280000,57
907.6020846,9142.392607,ANG MO KIO,13 TO 15,67,New Generation,360000,53
595.1167055,9213.242553,ANG MO KIO,10 TO 12,119,Improved,665000,56
1634.118769,10041.31441,BEDOK,10 TO 12,117,Standard,645000,56
464.9438217,8052.146386,BEDOK,10 TO 12,104,Model A,665000,70
874.7779866,11561.03853,BEDOK,07 TO 09,92,New Generation,368000,59
561.9272762,10389.10762,BEDOK,13 TO 15,59,Improved,312000,55
640.4754378,11032.85714,BEDOK,10 TO 12,60,Improved,315000,63
640.5156977,10585.36516,BEDOK,07 TO 09,67,New Generation,290000,59
630.9916029,10163.82939,BEDOK,04 TO 06,68,New Generation,280000,60
1499.024407,10174.91123,BEDOK,13 TO 15,65,Improved,285000,55
835.0452229,10076.13109,BEDOK,01 TO 03,67,New Generation,256800,58
718.7418122,10114.93682,BEDOK,04 TO 06,92,New Generation,380000,57
874.7779866,11561.03853,BEDOK,04 TO 06,92,New Generation,340000,58
682.6282847,11152.96181,BEDOK,07 TO 09,92,New Generation,391800,56
1302.776463,10332.33376,BEDOK,13 TO 15,69,Model A,493000,90
383.3590781,9749.310343,BEDOK,13 TO 15,87,DBSS,733000,93
962.2909393,9770.206272,BEDOK,10 TO 12,92,New Generation,368000,59
363.2506222,8843.359468,BEDOK,01 TO 03,122,Improved,440000,68
381.5742308,10401.49032,BEDOK,07 TO 09,67,New Generation,346888,55
556.0618193,11123.89812,BEDOK,13 TO 15,84,Improved,415000,56
523.0623836,10519.23869,BEDOK,04 TO 06,59,Improved,250000,57
684.2328162,10112.30657,BEDOK,04 TO 06,68,New Generation,293000,61
882.7587374,8417.804611,BISHAN,04 TO 06,119,Model A,700000,69
585.460715,7018.856082,BISHAN,10 TO 12,121,Improved,720000,69
325.6235742,8075.624803,BISHAN,04 TO 06,65,Improved,250000,52
1221.719943,8712.978444,BISHAN,07 TO 09,115,Model A,628888,74
866.2414198,8199.12865,BISHAN,28 TO 30,120,DBSS,1060000,90
674.0706989,6807.228257,BISHAN,10 TO 12,121,Improved,723000,66
1030.49093,8313.204091,BISHAN,10 TO 12,104,Model A,670000,70
323.1912831,7433.360901,BISHAN,04 TO 06,64,Simplified,443000,66
754.8312294,6963.359352,BISHAN,01 TO 03,123,Improved,630000,68
417.4698478,7142.619779,BISHAN,07 TO 09,84,Simplified,520000,68
821.5137817,8126.887126,BISHAN,01 TO 03,120,DBSS,1085000,88
478.1889376,7242.556991,BISHAN,04 TO 06,64,Simplified,430000,65
729.5198425,7295.93514,BISHAN,04 TO 06,122,Improved,658888,65
1112.327944,8731.358139,BISHAN,04 TO 06,131,Model A,745000,73
894.6233645,8380.909918,BISHAN,01 TO 03,105,Model A,530000,70
786.6368786,7202.181693,BISHAN,01 TO 03,103,Model A,488800,67
750.2035594,8304.143141,BISHAN,04 TO 06,146,Maisonette,950000,70
923.0759624,8462.737966,BISHAN,04 TO 06,114,Model A,688000,74
559.0095225,8116.246001,BISHAN,04 TO 06,105,Model A,665000,69
938.0799665,9048.564629,BISHAN,04 TO 06,64,Simplified,375000,66
605.1672448,13794.65597,BUKIT BATOK,10 TO 12,105,Model A,432000,71
516.4419014,14273.19432,BUKIT BATOK,10 TO 12,73,Model A,380000,64
993.2545252,14136.8614,BUKIT BATOK,01 TO 03,67,New Generation,268000,66
797.4836402,14604.82011,BUKIT BATOK,04 TO 06,84,Simplified,340000,64
268.1312598,13647.76843,BUKIT BATOK,04 TO 06,104,Model A,355018,64
1350.558693,12138.09341,BUKIT BATOK,10 TO 12,144,Apartment,730000,77
759.3005427,12814.3692,BUKIT BATOK,01 TO 03,67,New Generation,335000,62
635.6034149,13487.12714,BUKIT BATOK,25 TO 27,113,Premium Apartment,865000,95
185.2049565,13841.47401,BUKIT BATOK,04 TO 06,146,Maisonette,775000,62
968.0584417,12728.95623,BUKIT BATOK,04 TO 06,121,Improved,560000,62
834.9952729,14044.36712,BUKIT BATOK,04 TO 06,74,Model A,253000,64
277.5689698,13576.3286,BUKIT BATOK,07 TO 09,150,Model A,650000,62
1003.349376,12475.5166,BUKIT BATOK,01 TO 03,121,Improved,465000,78
635.6034149,13487.12714,BUKIT BATOK,04 TO 06,95,Premium Apartment,705000,95
592.2317862,13042.11205,BUKIT BATOK,07 TO 09,67,New Generation,263000,67
857.5431767,14121.61602,BUKIT BATOK,07 TO 09,105,Model A,405000,67
808.7603633,12925.15097,BUKIT BATOK,01 TO 03,73,Model A,265000,67
341.5626178,13813.8856,BUKIT BATOK,07 TO 09,103,Model A,410000,63
635.6034149,13487.12714,BUKIT BATOK,16 TO 18,115,Premium Apartment,900000,94
343.4038046,13359.44249,BUKIT BATOK,10 TO 12,104,Model A,428000,61
978.0514969,3079.001317,BUKIT MERAH,04 TO 06,75,Model A,416000,61
624.6417782,2103.735656,BUKIT MERAH,01 TO 03,88,Standard,560000,54
156.3504724,3820.397791,BUKIT MERAH,01 TO 03,115,Improved,725000,83
1102.579434,3344.39128,BUKIT MERAH,04 TO 06,120,Improved,700000,82
192.8711759,3939.960662,BUKIT MERAH,07 TO 09,115,Improved,836000,85
238.9959608,4047.801721,BUKIT MERAH,16 TO 18,100,Model A,808808,87
267.0083428,4709.624618,BUKIT MERAH,07 TO 09,98,New Generation,500000,59
1147.393959,3472.040751,BUKIT MERAH,13 TO 15,65,Improved,245000,55
315.6492116,3948.968226,BUKIT MERAH,16 TO 18,100,Model A,702888,82
262.8886904,2741.773318,BUKIT MERAH,07 TO 09,59,Standard,295000,49
733.9804799,4771.300094,BUKIT MERAH,01 TO 03,120,Improved,590000,79
380.8147463,5082.57878,BUKIT MERAH,31 TO 33,95,Premium Apartment,975000,91
292.9482216,2440.538391,BUKIT MERAH,31 TO 33,93,Model A,1008000,94
369.9622736,2882.673671,BUKIT MERAH,10 TO 12,42,Standard,180000,49
988.0820346,2439.478443,BUKIT MERAH,16 TO 18,117,Improved,673000,63
474.6216255,4581.513035,BUKIT MERAH,01 TO 03,73,New Generation,332000,57
994.8064033,3378.216609,BUKIT MERAH,07 TO 09,59,Improved,243800,55
525.6654196,2634.909559,BUKIT MERAH,04 TO 06,92,Model A,590000,84
420.3138617,2538.648804,BUKIT MERAH,19 TO 21,115,Improved,810000,80
899.1199187,3088.482155,BUKIT MERAH,04 TO 06,75,Model A,340000,64
1459.121206,14840.24737,BUKIT PANJANG,07 TO 09,112,Improved,495000,95
1128.694368,13196.1416,BUKIT PANJANG,07 TO 09,73,Model A,322000,66
1407.126114,13508.57992,BUKIT PANJANG,04 TO 06,106,Model A,465000,65
1189.193095,14656.68154,BUKIT PANJANG,10 TO 12,90,Model A2,452000,75
1244.765402,13309.32184,BUKIT PANJANG,01 TO 03,64,Simplified,300000,66
1290.172054,13049.03854,BUKIT PANJANG,07 TO 09,122,Improved,435000,70
949.3830359,14147.37434,BUKIT PANJANG,10 TO 12,113,Improved,648800,93
1313.962997,13676.77031,BUKIT PANJANG,04 TO 06,103,Model A,370000,67
817.1999732,14001.57482,BUKIT PANJANG,01 TO 03,88,Simplified,280000,68
995.5121748,15517.25727,BUKIT PANJANG,31 TO 33,112,Improved,740000,92
1423.3997,15018.93991,BUKIT PANJANG,10 TO 12,92,Model A,440000,94
1417.412229,14724.41746,BUKIT PANJANG,13 TO 15,92,Model A,445000,95
247.6083173,14698.40694,BUKIT PANJANG,25 TO 27,120,Improved,775000,77
1333.599873,15001.9585,BUKIT PANJANG,10 TO 12,67,Model A,325000,94
1711.940203,14602.19673,BUKIT PANJANG,07 TO 09,110,Premium Apartment,375000,82
582.7278598,13948.53411,BUKIT PANJANG,13 TO 15,121,Improved,548888,80
1302.120301,14309.65045,BUKIT PANJANG,04 TO 06,68,Model A,310000,94
974.589554,15482.89455,BUKIT PANJANG,19 TO 21,93,Model A,440000,95
972.0567767,15446.80643,BUKIT PANJANG,07 TO 09,67,Model A,323000,94
914.4959577,14652.55437,BUKIT PANJANG,01 TO 03,123,Improved,420000,78
253.5896374,10584.55364,BUKIT TIMAH,04 TO 06,104,Model A,680000,70
516.3701089,10662.81871,BUKIT TIMAH,01 TO 03,122,Improved,770000,67
516.3701089,10662.81871,BUKIT TIMAH,10 TO 12,104,Model A,720000,70
76.59805295,6128.765114,BUKIT TIMAH,01 TO 03,91,Improved,530000,51
97.74938457,6145.105363,BUKIT TIMAH,10 TO 12,120,Standard,890000,56
443.2435623,10531.67756,BUKIT TIMAH,01 TO 03,146,Maisonette,990000,69
466.5359842,10724.9026,BUKIT TIMAH,13 TO 15,104,Model A,650000,70
366.770496,10516.57589,BUKIT TIMAH,01 TO 03,122,Improved,828000,66
171.7628257,6233.295793,BUKIT TIMAH,04 TO 06,73,Improved,420000,51
403.5831873,10752.03791,BUKIT TIMAH,04 TO 06,104,Model A,790000,65
366.770496,10516.57589,BUKIT TIMAH,13 TO 15,104,Model A,710888,67
487.5961512,6281.764484,BUKIT TIMAH,01 TO 03,89,Improved,628000,51
429.9482308,10734.74458,BUKIT TIMAH,13 TO 15,104,Model A,680000,70
419.499048,6238.380809,BUKIT TIMAH,10 TO 12,91,Improved,590000,51
97.74938457,6145.105363,BUKIT TIMAH,07 TO 09,123,Standard,850000,53
366.770496,10516.57589,BUKIT TIMAH,07 TO 09,104,Model A,840000,64
459.2080735,10796.0938,BUKIT TIMAH,01 TO 03,146,Maisonette,885000,70
253.5896374,10584.55364,BUKIT TIMAH,07 TO 09,104,Model A,740000,68
384.1760279,10779.68609,BUKIT TIMAH,04 TO 06,122,Improved,783000,68
171.7628257,6233.295793,BUKIT TIMAH,07 TO 09,73,Improved,388000,53
386.5133992,1063.241124,CENTRAL AREA,07 TO 09,65,Improved,376000,56
233.3174721,2263.422424,CENTRAL AREA,10 TO 12,84,Standard,480000,51
292.5155444,2856.389461,CENTRAL AREA,16 TO 18,75,Model A,483000,83
71.00928636,2543.317325,CENTRAL AREA,01 TO 03,72,Model A,460000,63
378.6197497,2884.189222,CENTRAL AREA,07 TO 09,105,Improved,585888,83
233.3174721,2263.422424,CENTRAL AREA,16 TO 18,56,Standard,390000,55
293.9665621,992.1200279,CENTRAL AREA,07 TO 09,52,Standard,350000,60
279.0777178,876.6637468,CENTRAL AREA,10 TO 12,82,Improved,590000,63
346.0186871,945.962861,CENTRAL AREA,10 TO 12,60,Improved,428000,61
348.6761049,1235.378296,CENTRAL AREA,04 TO 06,105,Type S2,1020000,89
727.4791354,1409.321548,CENTRAL AREA,16 TO 18,54,Improved,308000,48
317.8930122,2800.438353,CENTRAL AREA,22 TO 24,141,Model A,950000,60
411.517629,1280.729667,CENTRAL AREA,04 TO 06,70,Improved,480000,57
249.6209338,1934.299684,CENTRAL AREA,07 TO 09,92,New Generation,722000,65
264.8150307,1283.717649,CENTRAL AREA,40 TO 42,107,Type S2,1100000,92
212.5144302,2595.998268,CENTRAL AREA,13 TO 15,65,Improved,352000,57
206.0807356,2508.355468,CENTRAL AREA,16 TO 18,82,Improved,575000,59
504.8334832,1388.068912,CENTRAL AREA,46 TO 48,97,Type S1,1080000,89
215.6649944,1729.299527,CENTRAL AREA,19 TO 21,60,Improved,432000,60
348.6761049,1235.378296,CENTRAL AREA,04 TO 06,96,Type S1,825000,93
306.5981204,16929.56568,CHOA CHU KANG,04 TO 06,109,Model A,373000,76
566.1627528,15905.08492,CHOA CHU KANG,10 TO 12,104,Model A,343000,70
1401.473935,15598.96762,CHOA CHU KANG,13 TO 15,113,Improved,670000,94
355.5388505,16794.31403,CHOA CHU KANG,07 TO 09,128,Improved,488000,78
243.4008049,16971.37851,CHOA CHU KANG,07 TO 09,113,Premium Apartment,435000,79
789.4409248,16446.75335,CHOA CHU KANG,10 TO 12,104,Model A,465000,70
525.2243473,17342.18495,CHOA CHU KANG,04 TO 06,102,Model A,308000,79
492.1947723,16794.27623,CHOA CHU KANG,07 TO 09,108,Model A,455000,73
478.2780564,17048.58173,CHOA CHU KANG,10 TO 12,67,Model A,315000,94
782.117243,16488.15586,CHOA CHU KANG,16 TO 18,126,Model A,560000,70
1035.312895,15390.13313,CHOA CHU KANG,04 TO 06,73,Model A,280000,69
1064.63184,15521.37266,CHOA CHU KANG,07 TO 09,93,Model A,453000,95
475.9598014,16030.94092,CHOA CHU KANG,04 TO 06,122,Improved,480000,72
565.6197767,17517.67288,CHOA CHU KANG,04 TO 06,124,Premium Apartment,410000,79
448.790137,17149.39383,CHOA CHU KANG,13 TO 15,104,Premium Apartment,360000,80
